word	frequency	misspellings	corrected_form	phonetic_code	edit_distance	syllables	pos_tag	ngram_prefix	ngram_suffix	language_model_score	context_category
hypocracy	175	hypocracy	hypocrisy	HYPO	1	1	NN	hy	sy	0.85	general
ignorence	176	ignorence	ignorance	IGNO	1	1	NN	ig	ce	0.85	general
imediately	177	imediately	immediately	IMME	1	1	NN	im	ly	0.85	general
independant	178	independant	independent	INDE	1	1	NN	in	nt	0.85	general
intresting	179	intresting	interesting	INTE	1	1	NN	in	ng	0.85	general
jewlery	180	jewlery	jewelry	JEWE	1	1	NN	je	ry	0.85	general
judgement	181	judgement	judgment	JUDG	1	1	NN	ju	nt	0.85	general
knowlege	182	knowlege	knowledge	KNOW	1	1	NN	kn	ge	0.85	general
languege	183	languege	language	LANG	1	1	NN	la	ge	0.85	general
liesure	184	liesure	leisure	LEIS	1	1	NN	le	re	0.85	general
liason	185	liason	liaison	LIAI	1	1	NN	li	on	0.85	general
libary	186	libary	library	LIBR	1	1	NN	li	ry	0.85	general
lisence	187	lisence	license	LICE	1	1	NN	li	se	0.85	general
loosing	188	loosing	losing	LOSI	1	1	NN	lo	ng	0.85	general
maintainance	189	maintainance	maintenance	MAIN	1	1	NN	ma	ce	0.85	general
marrige	190	marrige	marriage	MARR	1	1	NN	ma	ge	0.85	general
medeval	191	medeval	medieval	MEDI	1	1	NN	me	al	0.85	general
mesage	192	mesage	message	MESS	1	1	NN	me	ge	0.85	general
milennium	193	milennium	millennium	MILL	1	1	NN	mi	um	0.85	general
mischevious	194	mischevious	mischievous	MISC	1	1	NN	mi	us	0.85	general
misspell	195	misspell	misspell	MISS	1	1	NN	mi	ll	0.85	general
morgage	196	morgage	mortgage	MORT	1	1	NN	mo	ge	0.85	general
mountian	197	mountian	mountain	MOUN	1	1	NN	mo	in	0.85	general
necesary	198	necesary	necessary	NECE	1	1	NN	ne	ry	0.85	general
negociate	199	negociate	negotiate	NEGO	1	1	NN	ne	te	0.85	general
nieghbor	200	nieghbor	neighbor	NEIG	1	1	NN	ne	or	0.85	general
noticable	201	noticable	noticeable	NOTI	1	1	NN	no	le	0.85	general
occured	202	occured	occurred	OCCU	1	1	NN	oc	ed	0.85	general
offically	203	offically	officially	OFFI	1	1	NN	of	ly	0.85	general
oppurtunity	204	oppurtunity	opportunity	OPPO	1	1	NN	op	ty	0.85	general
outragous	205	outragous	outrageous	OUTR	1	1	NN	ou	us	0.85	general
paralel	206	paralel	parallel	PARA	1	1	NN	pa	el	0.85	general
pasttime	207	pasttime	pastime	PAST	1	1	NN	pa	me	0.85	general
peice	208	peice	piece	PIEC	1	1	NN	pi	ce	0.85	general
percieve	209	percieve	perceive	PERC	1	1	NN	pe	ve	0.85	general
permenent	210	permenent	permanent	PERM	1	1	NN	pe	nt	0.85	general
personel	211	personel	personnel	PERS	1	1	NN	pe	el	0.85	general
phenomenom	212	phenomenom	phenomenon	PHEN	1	1	NN	ph	on	0.85	general
plagarism	213	plagarism	plagiarism	PLAG	1	1	NN	pl	sm	0.85	general
pleasent	214	pleasent	pleasant	PLEA	1	1	NN	pl	nt	0.85	general
potatoe	215	potatoe	potato	POTA	1	1	NN	po	to	0.85	general
practicle	216	practicle	practical	PRAC	1	1	NN	pr	al	0.85	general
preceed	217	preceed	precede	PREC	1	1	NN	pr	de	0.85	general
prefered	218	prefered	preferred	PREF	1	1	NN	pr	ed	0.85	general
prejudace	219	prejudace	prejudice	PREJ	1	1	NN	pr	ce	0.85	general
privelege	220	privelege	privilege	PRIV	1	1	NN	pr	ge	0.85	general
probaly	221	probaly	probably	PROB	1	1	NN	pr	ly	0.85	general
procede	222	procede	proceed	PROC	1	1	NN	pr	ed	0.85	general
publically	223	publically	publicly	PUBL	1	1	NN	pu	ly	0.85	general
pursuade	224	pursuade	persuade	PERS	1	1	NN	pe	de	0.85	general
questionaire	225	questionaire	questionnaire	QUES	1	1	NN	qu	re	0.85	general
realy	226	realy	really	REAL	1	1	NN	re	ly	0.85	general
recieve	227	recieve	receive	RECE	1	1	NN	re	ve	0.85	general
recomend	228	recomend	recommend	RECO	1	1	NN	re	nd	0.85	general
refering	229	refering	referring	REFE	1	1	NN	re	ng	0.85	general
relevent	230	relevent	relevant	RELE	1	1	NN	re	nt	0.85	general
religous	231	religous	religious	RELI	1	1	NN	re	us	0.85	general
remeber	232	remeber	remember	REME	1	1	NN	re	er	0.85	general
repitition	233	repitition	repetition	REPE	1	1	NN	re	on	0.85	general
restuarant	234	restuarant	restaurant	REST	1	1	NN	re	nt	0.85	general
rythm	235	rythm	rhythm	RHYT	1	1	NN	rh	hm	0.85	general
sandwhich	236	sandwhich	sandwich	SAND	1	1	NN	sa	ch	0.85	general
saveing	237	saveing	saving	SAVI	1	1	NN	sa	ng	0.85	general
scedule	238	scedule	schedule	SCHE	1	1	NN	sc	le	0.85	general
sence	239	sence	sense	SENS	1	1	NN	se	se	0.85	general
sentance	240	sentance	sentence	SENT	1	1	NN	se	ce	0.85	general
seperate	241	seperate	separate	SEPA	1	1	NN	se	te	0.85	general
simalar	242	simalar	similar	SIMI	1	1	NN	si	ar	0.85	general
sincerly	243	sincerly	sincerely	SINC	1	1	NN	si	ly	0.85	general
sofware	244	sofware	software	SOFT	1	1	NN	so	re	0.85	general
souveneir	245	souveneir	souvenir	SOUV	1	1	NN	so	ir	0.85	general
speach	246	speach	speech	SPEE	1	1	NN	sp	ch	0.85	general
stationery	247	stationery	stationery	STAT	1	1	NN	st	ry	0.85	general
studing	248	studing	studying	STUD	1	1	NN	st	ng	0.85	general
succede	249	succede	succeed	SUCC	1	1	NN	su	ed	0.85	general
sucess	100	sucess	success	SUCC	1	1	NN	su	ss	0.85	general
sudenly	101	sudenly	suddenly	SUDD	1	1	NN	su	ly	0.85	general
supercede	102	supercede	supersede	SUPE	1	1	NN	su	de	0.85	general
suprise	103	suprise	surprise	SURP	1	1	NN	su	se	0.85	general
sympothy	104	sympothy	sympathy	SYMP	1	1	NN	sy	hy	0.85	general
tecnology	105	tecnology	technology	TECH	1	1	NN	te	gy	0.85	general
temperture	106	temperture	temperature	TEMP	1	1	NN	te	re	0.85	general
tendancy	107	tendancy	tendency	TEND	1	1	NN	te	cy	0.85	general
therefor	108	therefor	therefore	THER	1	1	NN	th	re	0.85	general
tommorow	109	tommorow	tomorrow	TOMO	1	1	NN	to	ow	0.85	general
tounge	110	tounge	tongue	TONG	1	1	NN	to	ue	0.85	general
truely	111	truely	truly	TRUL	1	1	NN	tr	ly	0.85	general
untill	112	untill	until	UNTI	1	1	NN	un	il	0.85	general
usualy	113	usualy	usually	USUA	1	1	NN	us	ly	0.85	general
vaccum	114	vaccum	vacuum	VACU	1	1	NN	va	um	0.85	general
valueable	115	valueable	valuable	VALU	1	1	NN	va	le	0.85	general
vegatable	116	vegatable	vegetable	VEGE	1	1	NN	ve	le	0.85	general
visable	117	visable	visible	VISI	1	1	NN	vi	le	0.85	general
voilence	118	voilence	violence	VIOL	1	1	NN	vi	ce	0.85	general
warrent	119	warrent	warrant	WARR	1	1	NN	wa	nt	0.85	general
wether	120	wether	weather	WEAT	1	1	NN	we	er	0.85	general
wierd	121	wierd	weird	WEIR	1	1	NN	we	rd	0.85	general
wellcome	122	wellcome	welcome	WELC	1	1	NN	we	me	0.85	general
withold	123	withold	withhold	WITH	1	1	NN	wi	ld	0.85	general
writting	124	writting	writing	WRIT	1	1	NN	wr	ng	0.85	general
yeild	125	yeild	yield	YIEL	1	1	NN	yi	ld	0.85	general
abreviation	126	abreviation	abbreviation	ABBR	1	1	NN	ab	on	0.85	general
absense	127	absense	absence	ABSE	1	1	NN	ab	ce	0.85	general
abundence	128	abundence	abundance	ABUN	1	1	NN	ab	ce	0.85	general
acurate	129	acurate	accurate	ACCU	1	1	NN	ac	te	0.85	general
adaquate	130	adaquate	adequate	ADEQ	1	1	NN	ad	te	0.85	general
administartion	131	administartion	administration	ADMI	1	1	NN	ad	on	0.85	general
afect	132	afect	affect	AFFE	1	1	NN	af	ct	0.85	general
agressive	133	agressive	aggressive	AGGR	1	1	NN	ag	ve	0.85	general
aknowledge	134	aknowledge	acknowledge	ACKN	1	1	NN	ac	ge	0.85	general
aliance	135	aliance	alliance	ALLI	1	1	NN	al	ce	0.85	general
allowence	136	allowence	allowance	ALLO	1	1	NN	al	ce	0.85	general
ammendment	137	ammendment	amendment	AMEN	1	1	NN	am	nt	0.85	general
anomoly	138	anomoly	anomaly	ANOM	1	1	NN	an	ly	0.85	general
apologise	139	apologise	apologize	APOL	1	1	NN	ap	ze	0.85	general
aquarium	140	aquarium	aquarium	AQUA	1	1	NN	aq	um	0.85	general
aquired	141	aquired	acquired	ACQU	1	1	NN	ac	ed	0.85	general
arangement	142	arangement	arrangement	ARRA	1	1	NN	ar	nt	0.85	general
arrogence	143	arrogence	arrogance	ARRO	1	1	NN	ar	ce	0.85	general
artical	144	artical	article	ARTI	1	1	NN	ar	le	0.85	general
artifical	145	artifical	artificial	ARTI	1	1	NN	ar	al	0.85	general
assistence	146	assistence	assistance	ASSI	1	1	NN	as	ce	0.85	general
asociate	147	asociate	associate	ASSO	1	1	NN	as	te	0.85	general
atain	148	atain	attain	ATTA	1	1	NN	at	in	0.85	general
atribute	149	atribute	attribute	ATTR	1	1	NN	at	te	0.85	general
audiance	150	audiance	audience	AUDI	1	1	NN	au	ce	0.85	general
autum	151	autum	autumn	AUTU	1	1	NN	au	mn	0.85	general
availible	152	availible	available	AVAI	1	1	NN	av	le	0.85	general
aweful	153	aweful	awful	AWFU	1	1	NN	aw	ul	0.85	general
awkword	154	awkword	awkward	AWKW	1	1	NN	aw	rd	0.85	general
beggining	155	beggining	beginning	BEGI	1	1	NN	be	ng	0.85	general
behaviuor	156	behaviuor	behavior	BEHA	1	1	NN	be	or	0.85	general
benifit	157	benifit	benefit	BENE	1	1	NN	be	it	0.85	general
bizness	158	bizness	business	BUSI	1	1	NN	bu	ss	0.85	general
bizzare	159	bizzare	bizarre	BIZA	1	1	NN	bi	re	0.85	general
boarder	160	boarder	border	BORD	1	1	NN	bo	er	0.85	general
boundry	161	boundry	boundary	BOUN	1	1	NN	bo	ry	0.85	general
breif	162	breif	brief	BRIE	1	1	NN	br	ef	0.85	general
brillant	163	brillant	brilliant	BRIL	1	1	NN	br	nt	0.85	general
brocoli	164	brocoli	broccoli	BROC	1	1	NN	br	li	0.85	general
burocracy	165	burocracy	bureaucracy	BURE	1	1	NN	bu	cy	0.85	general
canidate	166	canidate	candidate	CAND	1	1	NN	ca	te	0.85	general
capible	167	capible	capable	CAPA	1	1	NN	ca	le	0.85	general
carfully	168	carfully	carefully	CARE	1	1	NN	ca	ly	0.85	general
catogory	169	catogory	category	CATE	1	1	NN	ca	ry	0.85	general
celebrety	170	celebrety	celebrity	CELE	1	1	NN	ce	ty	0.85	general
childern	171	childern	children	CHIL	1	1	NN	ch	en	0.85	general
clasify	172	clasify	classify	CLAS	1	1	NN	cl	fy	0.85	general
colaborate	173	colaborate	collaborate	COLL	1	1	NN	co	te	0.85	general
colum	174	colum	column	COLU	1	1	NN	co	mn	0.85	general
commited	175	commited	committed	COMM	1	1	NN	co	ed	0.85	general
comonly	176	comonly	commonly	COMM	1	1	NN	co	ly	0.85	general
comparason	177	comparason	comparison	COMP	1	1	NN	co	on	0.85	general
competiton	178	competiton	competition	COMP	1	1	NN	co	on	0.85	general
confidance	179	confidance	confidence	CONF	1	1	NN	co	ce	0.85	general
confrence	180	confrence	conference	CONF	1	1	NN	co	ce	0.85	general
conquer	181	conquer	conquer	CONQ	1	1	NN	co	er	0.85	general
consequense	182	consequense	consequence	CONS	1	1	NN	co	ce	0.85	general
consitution	183	consitution	constitution	CONS	1	1	NN	co	on	0.85	general
conterfeit	184	conterfeit	counterfeit	COUN	1	1	NN	co	it	0.85	general
contraversy	185	contraversy	controversy	CONT	1	1	NN	co	sy	0.85	general
convay	186	convay	convey	CONV	1	1	NN	co	ey	0.85	general
coperate	187	coperate	cooperate	COOP	1	1	NN	co	te	0.85	general
councellor	188	councellor	counselor	COUN	1	1	NN	co	or	0.85	general
couragous	189	couragous	courageous	COUR	1	1	NN	co	us	0.85	general
critereon	190	critereon	criterion	CRIT	1	1	NN	cr	on	0.85	general
cruicial	191	cruicial	crucial	CRUC	1	1	NN	cr	al	0.85	general
custommer	192	custommer	customer	CUST	1	1	NN	cu	er	0.85	general
deadling	193	deadling	deadline	DEAD	1	1	NN	de	ne	0.85	general
deceave	194	deceave	deceive	DECE	1	1	NN	de	ve	0.85	general
declartion	195	declartion	declaration	DECL	1	1	NN	de	on	0.85	general
defendent	196	defendent	defendant	DEFE	1	1	NN	de	nt	0.85	general
defintion	197	defintion	definition	DEFI	1	1	NN	de	on	0.85	general
deliberatly	198	deliberatly	deliberately	DELI	1	1	NN	de	ly	0.85	general
deleate	199	deleate	delete	DELE	1	1	NN	de	te	0.85	general
demenor	200	demenor	demeanor	DEME	1	1	NN	de	or	0.85	general
desireable	201	desireable	desirable	DESI	1	1	NN	de	le	0.85	general
deterrant	202	deterrant	deterrent	DETE	1	1	NN	de	nt	0.85	general
devide	203	devide	divide	DIVI	1	1	NN	di	de	0.85	general
dictionery	204	dictionery	dictionary	DICT	1	1	NN	di	ry	0.85	general
diferentiate	205	diferentiate	differentiate	DIFF	1	1	NN	di	te	0.85	general
dilligent	206	dilligent	diligent	DILI	1	1	NN	di	nt	0.85	general
dimention	207	dimention	dimension	DIME	1	1	NN	di	on	0.85	general
disatisfied	208	disatisfied	dissatisfied	DISS	1	1	NN	di	ed	0.85	general
disciplin	209	disciplin	discipline	DISC	1	1	NN	di	ne	0.85	general
discreate	210	discreate	discreet	DISC	1	1	NN	di	et	0.85	general
disipline	211	disipline	discipline	DISC	1	1	NN	di	ne	0.85	general
distingish	212	distingish	distinguish	DIST	1	1	NN	di	sh	0.85	general
distribusion	213	distribusion	distribution	DIST	1	1	NN	di	on	0.85	general
dominence	214	dominence	dominance	DOMI	1	1	NN	do	ce	0.85	general
efficency	215	efficency	efficiency	EFFI	1	1	NN	ef	cy	0.85	general
elaborete	216	elaborete	elaborate	ELAB	1	1	NN	el	te	0.85	general
eloquance	217	eloquance	eloquence	ELOQ	1	1	NN	el	ce	0.85	general
embarassment	218	embarassment	embarrassment	EMBA	1	1	NN	em	nt	0.85	general
emergancy	219	emergancy	emergency	EMER	1	1	NN	em	cy	0.85	general
emporer	220	emporer	emperor	EMPE	1	1	NN	em	or	0.85	general
encoragement	221	encoragement	encouragement	ENCO	1	1	NN	en	nt	0.85	general
endurance	222	endurance	endurance	ENDU	1	1	NN	en	ce	0.85	general
enforcment	223	enforcment	enforcement	ENFO	1	1	NN	en	nt	0.85	general
enormus	224	enormus	enormous	ENOR	1	1	NN	en	us	0.85	general
enthuastic	225	enthuastic	enthusiastic	ENTH	1	1	NN	en	ic	0.85	general
equipt	226	equipt	equip	EQUI	1	1	NN	eq	ip	0.85	general
equivalant	227	equivalant	equivalent	EQUI	1	1	NN	eq	nt	0.85	general
erronius	228	erronius	erroneous	ERRO	1	1	NN	er	us	0.85	general
escential	229	escential	essential	ESSE	1	1	NN	es	al	0.85	general
estabilish	230	estabilish	establish	ESTA	1	1	NN	es	sh	0.85	general
evacuacion	231	evacuacion	evacuation	EVAC	1	1	NN	ev	on	0.85	general
evulate	232	evulate	evaluate	EVAL	1	1	NN	ev	te	0.85	general
excelent	233	excelent	excellent	EXCE	1	1	NN	ex	nt	0.85	general
exclaimation	234	exclaimation	exclamation	EXCL	1	1	NN	ex	on	0.85	general
exculsive	235	exculsive	exclusive	EXCL	1	1	NN	ex	ve	0.85	general
existanse	236	existanse	existence	EXIS	1	1	NN	ex	ce	0.85	general
explict	237	explict	explicit	EXPL	1	1	NN	ex	it	0.85	general
explotion	238	explotion	explosion	EXPL	1	1	NN	ex	on	0.85	general
extreem	239	extreem	extreme	EXTR	1	1	NN	ex	me	0.85	general
facillitate	240	facillitate	facilitate	FACI	1	1	NN	fa	te	0.85	general
fallicy	241	fallicy	fallacy	FALL	1	1	NN	fa	cy	0.85	general
fameous	242	fameous	famous	FAMO	1	1	NN	fa	us	0.85	general
fatigue	243	fatigue	fatigue	FATI	1	1	NN	fa	ue	0.85	general
femenist	244	femenist	feminist	FEMI	1	1	NN	fe	st	0.85	general
fluctuate	245	fluctuate	fluctuate	FLUC	1	1	NN	fl	te	0.85	general
forseeable	246	forseeable	foreseeable	FORE	1	1	NN	fo	le	0.85	general
fundemental	247	fundemental	fundamental	FUND	1	1	NN	fu	al	0.85	general
garuntee	248	garuntee	guarantee	GUAR	1	1	NN	gu	ee	0.85	general
genious	249	genious	genius	GENI	1	1	NN	ge	us	0.85	general
glamerous	100	glamerous	glamorous	GLAM	1	1	NN	gl	us	0.85	general
guarentee	101	guarentee	guarantee	GUAR	1	1	NN	gu	ee	0.85	general
harasment	102	harasment	harassment	HARA	1	1	NN	ha	nt	0.85	general
hemmorhage	103	hemmorhage	hemorrhage	HEMO	1	1	NN	he	ge	0.85	general
hiearchy	104	hiearchy	hierarchy	HIER	1	1	NN	hi	hy	0.85	general
honorery	105	honorery	honorary	HONO	1	1	NN	ho	ry	0.85	general
horribly	106	horribly	horribly	HORR	1	1	NN	ho	ly	0.85	general
hospitible	107	hospitible	hospitable	HOSP	1	1	NN	ho	le	0.85	general
humiliate	108	humiliate	humiliate	HUMI	1	1	NN	hu	te	0.85	general
hypocrit	109	hypocrit	hypocrite	HYPO	1	1	NN	hy	te	0.85	general
imaginaton	110	imaginaton	imagination	IMAG	1	1	NN	im	on	0.85	general
imposter	111	imposter	impostor	IMPO	1	1	NN	im	or	0.85	general
inaccurate	112	inaccurate	inaccurate	INAC	1	1	NN	in	te	0.85	general
inadvertant	113	inadvertant	inadvertent	INAD	1	1	NN	in	nt	0.85	general
inagural	114	inagural	inaugural	INAU	1	1	NN	in	al	0.85	general
incedent	115	incedent	incident	INCI	1	1	NN	in	nt	0.85	general
incoherant	116	incoherant	incoherent	INCO	1	1	NN	in	nt	0.85	general
independant	117	independant	independent	INDE	1	1	NN	in	nt	0.85	general
indisputable	118	indisputable	indisputable	INDI	1	1	NN	in	le	0.85	general
inflamation	119	inflamation	inflammation	INFL	1	1	NN	in	on	0.85	general
innocense	120	innocense	innocence	INNO	1	1	NN	in	ce	0.85	general
insistance	121	insistance	insistence	INSI	1	1	NN	in	ce	0.85	general
instutution	122	instutution	institution	INST	1	1	NN	in	on	0.85	general
integretion	123	integretion	integration	INTE	1	1	NN	in	on	0.85	general
intelectual	124	intelectual	intellectual	INTE	1	1	NN	in	al	0.85	general
invisiable	125	invisiable	invisible	INVI	1	1	NN	in	le	0.85	general
irational	126	irational	irrational	IRRA	1	1	NN	ir	al	0.85	general
irrelevent	127	irrelevent	irrelevant	IRRE	1	1	NN	ir	nt	0.85	general
jeopordize	128	jeopordize	jeopardize	JEOP	1	1	NN	je	ze	0.85	general
journel	129	journel	journal	JOUR	1	1	NN	jo	al	0.85	general
knowledgable	130	knowledgable	knowledgeable	KNOW	1	1	NN	kn	le	0.85	general
legitamate	131	legitamate	legitimate	LEGI	1	1	NN	le	te	0.85	general
literaly	132	literaly	literally	LITE	1	1	NN	li	ly	0.85	general
litirature	133	litirature	literature	LITE	1	1	NN	li	re	0.85	general
logicel	134	logicel	logical	LOGI	1	1	NN	lo	al	0.85	general
luxurious	135	luxurious	luxurious	LUXU	1	1	NN	lu	us	0.85	general
magnificant	136	magnificant	magnificent	MAGN	1	1	NN	ma	nt	0.85	general
malicious	137	malicious	malicious	MALI	1	1	NN	ma	us	0.85	general
manipulate	138	manipulate	manipulate	MANI	1	1	NN	ma	te	0.85	general
manouver	139	manouver	maneuver	MANE	1	1	NN	ma	er	0.85	general
measurment	140	measurment	measurement	MEAS	1	1	NN	me	nt	0.85	general
memorible	141	memorible	memorable	MEMO	1	1	NN	me	le	0.85	general
meticulus	142	meticulus	meticulous	METI	1	1	NN	me	us	0.85	general
militery	143	militery	military	MILI	1	1	NN	mi	ry	0.85	general
miscelaneous	144	miscelaneous	miscellaneous	MISC	1	1	NN	mi	us	0.85	general
misteak	145	misteak	mistake	MIST	1	1	NN	mi	ke	0.85	general
moderete	146	moderete	moderate	MODE	1	1	NN	mo	te	0.85	general
momunent	147	momunent	monument	MONU	1	1	NN	mo	nt	0.85	general
motiveted	148	motiveted	motivated	MOTI	1	1	NN	mo	ed	0.85	general
multipy	149	multipy	multiply	MULT	1	1	NN	mu	ly	0.85	general
municipal	150	municipal	municipal	MUNI	1	1	NN	mu	al	0.85	general
mystereous	151	mystereous	mysterious	MYST	1	1	NN	my	us	0.85	general
naturaly	152	naturaly	naturally	NATU	1	1	NN	na	ly	0.85	general
neccesary	153	neccesary	necessary	NECE	1	1	NN	ne	ry	0.85	general
neglegence	154	neglegence	negligence	NEGL	1	1	NN	ne	ce	0.85	general
negotaite	155	negotaite	negotiate	NEGO	1	1	NN	ne	te	0.85	general
nerveous	156	nerveous	nervous	NERV	1	1	NN	ne	us	0.85	general
nominate	157	nominate	nominate	NOMI	1	1	NN	no	te	0.85	general
noticeble	158	noticeble	noticeable	NOTI	1	1	NN	no	le	0.85	general
numerous	159	numerous	numerous	NUME	1	1	NN	nu	us	0.85	general
obscene	160	obscene	obscene	OBSC	1	1	NN	ob	ne	0.85	general
obsticle	161	obsticle	obstacle	OBST	1	1	NN	ob	le	0.85	general
ocassional	162	ocassional	occasional	OCCA	1	1	NN	oc	al	0.85	general
ocurrence	163	ocurrence	occurrence	OCCU	1	1	NN	oc	ce	0.85	general
omision	164	omision	omission	OMIS	1	1	NN	om	on	0.85	general
opression	165	opression	oppression	OPPR	1	1	NN	op	on	0.85	general
orchestrate	166	orchestrate	orchestrate	ORCH	1	1	NN	or	te	0.85	general
origanel	167	origanel	original	ORIG	1	1	NN	or	al	0.85	general
overwhleming	168	overwhleming	overwhelming	OVER	1	1	NN	ov	ng	0.85	general
paranioa	169	paranioa	paranoia	PARA	1	1	NN	pa	ia	0.85	general
partialy	170	partialy	partially	PART	1	1	NN	pa	ly	0.85	general
pasionate	171	pasionate	passionate	PASS	1	1	NN	pa	te	0.85	general
peculier	172	peculier	peculiar	PECU	1	1	NN	pe	ar	0.85	general
